,Unnamed: 0,Player,Tm,season17_18
141,142,Garrett Temple,SAC,8000000.0
142,143,Vince Carter,SAC,8000000.0
143,144,C.J. Miles,TOR,7936509.0
144,145,Cristiano Felicio,CHI,7843500.0
145,146,Shaun Livingston,GSW,7692308.0
146,147,Cory Joseph,IND,7630000.0
147,148,P.J. Tucker,HOU,7590035.0
148,149,Corey Brewer,LAL,7579366.0
149,150,Andrew Wiggins,MIN,7574322.0
150,151,Darrell Arthur,DEN,7464912.0
151,152,Channing Frye,LAL,7420912.0
152,153,Trevor Ariza,HOU,7420912.0
153,154,Al-Farouq Aminu,POR,7319035.0
154,155,Cole Aldrich,MIN,7300000.0
155,156,D.J. Augustin,ORL,7250000.0
156,157,Markelle Fultz,PHI,7026240.0
157,158,Lou Williams,LAC,7000000.0
158,159,Kyle Korver,CLE,7000000.0
159,160,Jeremy Lamb,CHO,7000000.0
160,161,Boban Marjanovic,LAC,7000000.0
161,162,Jae Crowder,UTA,6796117.0
162,163,Jabari Parker,MIL,6782392.0
163,164,Langston Galloway,DET,6666667.0
164,165,Lance Thomas,NYK,6655325.0
165,166,Ed Davis,POR,6352531.0
166,167,Marco Belinelli,ATL,6306060.0
167,168,Jonathon Simmons,ORL,6300000.0
168,169,Lonzo Ball,LAL,6286560.0
169,170,Wayne Ellington,MIA,6270000.0
170,171,Isaiah Thomas,LAL,6261395.0
171,172,Karl-Anthony Towns,MIN,6216840.0
172,173,Ben Simmons,PHI,6168840.0
173,174,Joel Embiid,PHI,6100266.0
174,175,Spencer Hawes,MIL,6021175.0
175,176,Josh McRoberts,DAL,6021175.0
176,177,Ish Smith,DET,6000000.0
177,178,Alan Williams,PHO,6000000.0
178,179,Shelvin Mack,ORL,6000000.0
179,180,Milos Teodosic,LAC,6000000.0
180,181,Ersan Ilyasova,ATL,6000000.0
181,182,Dewayne Dedmon,ATL,6000000.0
182,183,Tyler Johnson,MIA,5881260.0
183,184,Wesley Johnson,LAC,5881260.0
184,185,Alex Abrines,OKC,5725000.0
185,186,Jayson Tatum,BOS,5645400.0
186,187,D'Angelo Russell,BRK,5562360.0
187,188,Brandon Ingram,LAL,5519400.0
188,189,Patrick Beverley,LAC,5513514.0
189,190,Aaron Gordon,ORL,5504420.0
190,191,Deron Williams,BRK,5500000.0
191,192,Josh Smith,DET,5400000.0
192,193,Thabo Sefolosha,UTA,5250000.0
193,194,Jason Smith,WAS,5225000.0
194,195,Ben McLemore,MEM,5200000.0
195,196,Patrick Patterson,OKC,5192000.0
196,197,Nick Young,GSW,5192000.0
197,198,Brandan Wright,MEM,5179760.0
198,199,Josh Jackson,PHO,5090040.0
199,200,Marcus Morris,BOS,5000000.0
200,201,Dirk Nowitzki,DAL,5000000.0
201,202,Greg Monroe,BOS,5000000.0
202,203,Mike Muscala,ATL,5000000.0
203,204,Jahlil Okafor,BRK,4995120.0
204,205,Dante Exum,UTA,4992385.0
205,206,Alexis Ajinca,NOP,4961798.0
206,207,Jaylen Brown,BOS,4956480.0
207,208,Jameer Nelson,DEN,4736050.0
208,209,Kyle Singler,OKC,4666500.0
209,210,Justin Holiday,CHI,4615385.0
210,211,De'Aaron Fox,SAC,4609200.0
211,212,Marcus Smart,BOS,4538020.0
212,213,Kristaps Porzingis,NYK,4503600.0
213,214,Dragan Bender,PHO,4468800.0
214,215,Devin Harris,DEN,4402546.0
215,216,Ron Baker,NYK,4328000.0
216,217,Jamal Crawford,MIN,4328000.0
217,218,Aron Baynes,BOS,4328000.0
218,219,Alex Len,PHO,4187599.0
219,220,Nerlens Noel,DAL,4187599.0
220,221,Jonathan Isaac,ORL,4186320.0
221,222,Lance Stephenson,IND,4180000.0
222,223,Julius Randle,LAL,4149242.0
223,224,Kyle O'Quinn,NYK,4087500.0
224,225,Mario Hezonja,ORL,4078320.0
225,226,Kris Dunn,CHI,4046760.0
226,227,Jonas Jerebko,UTA,4000000.0
227,228,Nemanja Bjelica,MIN,3949999.0
228,229,J.J. Barea,DAL,3903900.0
229,230,Quincy Pondexter,CHI,3853931.0
230,231,Lauri Markkanen,CHI,3821640.0
231,232,Nik Stauskas,BRK,3807146.0
232,233,Willie Cauley-Stein,SAC,3704160.0
233,234,Buddy Hield,SAC,3675480.0
234,235,Will Barton,DEN,3533333.0
235,236,Noah Vonleh,CHI,3505233.0
236,237,Frank Ntilikina,NYK,3501120.0
237,238,Nene Hilario,HOU,3477600.0
238,239,Zaza Pachulia,GSW,3477600.0
239,240,Troy Daniels,PHO,3408520.0
240,241,Emmanuel Mudiay,NYK,3381480.0
241,242,Jamal Murray,DEN,3355320.0
242,243,Elfrid Payton,PHO,3332340.0
243,244,Rajon Rondo,NOP,3300000.0
244,245,Doug McDermott,DAL,3294994.0
245,246,Jodie Meeks,WAS,3290000.0
246,247,Tyreke Evans,MEM,3290000.0
247,248,Tarik Black,HOU,3290000.0
248,249,Anthony Tolliver,DET,3290000.0
249,250,Dennis Smith,DAL,3218280.0
250,251,Zach LaVine,CHI,3202217.0
251,252,Ekpe Udoh,UTA,3200000.0
252,253,T.J. Warren,PHO,3152931.0
253,254,Stanley Johnson,DET,3097800.0
254,255,Marquese Chriss,PHO,3073800.0
255,256,Zach Collins,POR,3057240.0
256,257,James Ennis,DET,3028410.0
257,258,Seth Curry,DAL,3028410.0
258,259,Mindaugas Kuzminskas,NYK,3025035.0
259,260,Tomas Satoransky,WAS,3000000.0
260,261,Rajon Rondo,CHI,3000000.0
261,262,Lucas Nogueira,TOR,2947305.0
262,263,Jusuf Nurkic,POR,2947305.0
263,264,Malik Monk,CHO,2904480.0
264,265,Frank Kaminsky,CHO,2847600.0
265,266,Andrew Nicholson,POR,2844429.0
266,267,Jakob Poeltl,TOR,2825640.0
267,268,Luke Kennard,DET,2759280.0
268,269,Justise Winslow,MIA,2705040.0
269,270,Michael Carter-Williams,CHO,2700000.0
270,271,Thon Maker,MIL,2684160.0
271,272,Cedi Osman,CLE,2642857.0
272,273,Donovan Mitchell,UTA,2621280.0
273,274,Myles Turner,IND,2569920.0
274,275,Gary Harris,DEN,2550055.0
275,276,Domantas Sabonis,IND,2550000.0
276,277,Manu Ginobili,SAS,2500000.0
277,278,Reggie Bullock,DET,2500000.0
278,279,Richard Jefferson,ATL,2500000.0
279,280,Malcolm Delaney,ATL,2500000.0
280,281,Bam Adebayo,MIA,2490360.0
281,282,Bruno Caboclo,SAC,2451225.0
282,283,Ronnie Price,OKC,2442455.0
283,284,Trey Lyles,DEN,2441400.0
284,285,Dario Saric,PHI,2422560.0
285,286,Taurean Waller-Prince,ATL,2422560.0
286,287,Rodney Hood,CLE,2386864.0
287,288,Justin Jackson,SAC,2365560.0
288,289,Shabazz Napier,POR,2361360.0
289,290,Clint Capela,HOU,2334520.0
290,291,Arron Afflalo,ORL,2328652.0
291,292,Raymond Felton,OKC,2328652.0
292,293,Nick Collison,OKC,2328652.0
293,294,Ramon Sessions,NYK,2328652.0
294,295,Jarrett Jack,NYK,2328652.0
295,296,Jason Terry,MIL,2328652.0
296,297,Udonis Haslem,MIA,2328652.0
297,298,Dwyane Wade,MIA,2328652.0
298,299,David West,GSW,2328652.0
299,300,Richard Jefferson,DEN,2328652.0
300,301,Jose Calderon,CLE,2328652.0
301,302,Andrew Bogut,LAL,2328652.0
302,303,Devin Booker,PHO,2319360.0
303,304,Georgios Papagiannis,SAC,2301360.0
304,305,Dante Cunningham,BRK,2300000.0
305,306,Jameer Nelson,DET,2262871.0
306,307,Justin Patton,MIN,2247480.0
307,308,Guerschon Yabusele,BOS,2247480.0
308,309,Monta Ellis,IND,2245400.0
309,310,Cameron Payne,CHI,2203440.0
310,311,Denzel Valentine,CHI,2186400.0
311,312,Josh Smith,NOP,2183934.0
