,Year,Player,Pos,Age,G,PER,MPG,PPG,APG,RPG,TOPG,BPG,SPG,salary17_18
11,2017.0,Kyle Anderson,SG,23.0,72.0,12.5,14.166666666666666,3.4166666666666665,1.2638888888888888,2.888888888888889,0.5416666666666666,0.3611111111111111,0.7083333333333334,2.151704
12,2017.0,Ryan Anderson,PF,28.0,72.0,13.5,29.38888888888889,13.597222222222221,0.9444444444444444,4.583333333333333,0.7638888888888888,0.19444444444444445,0.4444444444444444,19.578455
13,2017.0,Giannis Antetokounmpo,SF,22.0,80.0,26.1,35.5625,22.9,5.425,8.75,2.925,1.8875,1.6375,22.47191
14,2017.0,Carmelo Anthony,SF,32.0,74.0,17.9,34.2972972972973,22.41891891891892,2.8783783783783785,5.891891891891892,2.0675675675675675,0.4594594594594595,0.8108108108108109,26.24376
15,2017.0,Trevor Ariza,SF,31.0,80.0,12.3,34.6625,11.7,2.1875,5.7375,0.925,0.25,1.8375,7.420912
16,2017.0,Darrell Arthur,PF,28.0,41.0,12.8,15.585365853658537,6.390243902439025,1.024390243902439,2.731707317073171,0.8780487804878049,0.5121951219512195,0.4634146341463415,7.464912
17,2017.0,Omer Asik,C,30.0,31.0,9.8,15.548387096774194,2.7419354838709675,0.4838709677419355,5.258064516129032,0.45161290322580644,0.3225806451612903,0.16129032258064516,10.595505
18,2017.0,D.J. Augustin,PG,29.0,78.0,11.0,19.71794871794872,7.897435897435898,2.6794871794871793,1.5,1.1538461538461537,0.01282051282051282,0.3974358974358974,7.25
19,2017.0,Luke Babbitt,SF,27.0,68.0,8.4,15.661764705882353,4.764705882352941,0.5294117647058824,2.088235294117647,0.36764705882352944,0.16176470588235295,0.3088235294117647,1.974159
20,2017.0,Ron Baker,SG,23.0,52.0,7.5,16.48076923076923,4.134615384615385,2.0576923076923075,1.8846153846153846,1.0769230769230769,0.15384615384615385,0.6538461538461539,4.328
21,2017.0,Wade Baldwin,PG,20.0,33.0,6.4,12.272727272727273,3.212121212121212,1.8484848484848484,1.393939393939394,1.2121212121212122,0.21212121212121213,0.5454545454545454,1.8744
22,2017.0,Wade Baldwin,PG,20.0,33.0,6.4,12.272727272727273,3.212121212121212,1.8484848484848484,1.393939393939394,1.2121212121212122,0.21212121212121213,0.5454545454545454,0.222476
23,2017.0,Leandro Barbosa,SG,34.0,67.0,11.5,14.373134328358208,6.253731343283582,1.208955223880597,1.5522388059701493,0.7164179104477612,0.11940298507462686,0.4626865671641791,0.5
24,2017.0,J.J. Barea,PG,32.0,35.0,17.2,22.02857142857143,10.885714285714286,5.514285714285714,2.4,1.8,0.02857142857142857,0.4,3.9039
25,2017.0,Harrison Barnes,PF,24.0,79.0,16.3,35.48101265822785,19.21518987341772,1.481012658227848,5.025316455696203,1.2911392405063291,0.189873417721519,0.8354430379746836,23.112004
26,2017.0,Matt Barnes,SF,36.0,74.0,10.3,24.013513513513512,7.121621621621622,2.6216216216216215,5.22972972972973,1.445945945945946,0.35135135135135137,0.6486486486486487,2.133542
27,2017.0,Will Barton,SG,26.0,60.0,15.5,28.416666666666668,13.666666666666666,3.433333333333333,4.3,1.6166666666666667,0.4666666666666667,0.8,3.533333
28,2017.0,Nicolas Batum,SG,28.0,77.0,15.8,33.98701298701299,15.116883116883116,5.909090909090909,6.246753246753247,2.5194805194805197,0.37662337662337664,1.1168831168831168,22.434783
29,2017.0,Jerryd Bayless,PG,28.0,3.0,8.7,23.666666666666668,11.0,4.333333333333333,4.0,3.0,0.0,0.0,9.0
30,2017.0,Aron Baynes,C,30.0,75.0,13.1,15.506666666666666,4.866666666666666,0.4266666666666667,4.44,0.6666666666666666,0.52,0.22666666666666666,4.328
31,2017.0,Kent Bazemore,SF,27.0,73.0,11.5,26.89041095890411,10.972602739726028,2.4246575342465753,3.164383561643836,1.7123287671232876,0.7123287671232876,1.2465753424657535,16.910113
32,2017.0,Bradley Beal,SG,23.0,77.0,20.1,34.857142857142854,23.103896103896105,3.4675324675324677,3.103896103896104,2.038961038961039,0.2727272727272727,1.077922077922078,23.775506
33,2017.0,Malik Beasley,SG,20.0,22.0,13.7,7.5,3.772727272727273,0.5,0.7727272727272727,0.36363636363636365,0.0,0.3181818181818182,1.70064
34,2017.0,Michael Beasley,PF,28.0,56.0,17.8,16.696428571428573,9.428571428571429,0.9464285714285714,3.4464285714285716,1.1785714285714286,0.48214285714285715,0.5,2.116955
